"crun","currID","force"
225,"123148066","FORCE_46.21875_-89.65625"
226,"69883734","FORCE_46.28125_-89.96875"
227,"70331435","FORCE_45.96875_-89.46875"
228,"69883694","FORCE_46.28125_-89.96875"
229,"69884344","FORCE_46.21875_-90.09375"
230,"70333287","FORCE_45.84375_-89.71875"
231,"70331547","FORCE_45.96875_-89.09375"
232,"JAZ_158","FORCE_46.03125_-89.90625"
233,"123147891","FORCE_46.28125_-89.84375"
234,"70332143","FORCE_45.90625_-89.59375"
235,"123398074","FORCE_46.15625_-89.34375"
236,"69886002","FORCE_46.03125_-89.59375"
237,"69886654","FORCE_46.03125_-90.03125"
238,"70336155","FORCE_45.59375_-89.46875"
239,"69883992","FORCE_46.21875_-90.03125"
240,"69886004","FORCE_46.09375_-90.28125"
241,"70333483","FORCE_45.78125_-89.15625"
242,"70332941","FORCE_45.84375_-89.84375"
243,"77357766","FORCE_45.96875_-90.15625"
244,"70331497","FORCE_45.96875_-89.34375"
245,"69883870","FORCE_46.28125_-90.03125"
246,"123396876","FORCE_46.28125_-89.46875"
247,"69886968","FORCE_45.96875_-89.96875"
248,"123397381","FORCE_46.21875_-89.34375"
249,"69885042","FORCE_46.15625_-89.84375"
250,"69885170","FORCE_46.15625_-90.15625"
251,"70332177","FORCE_45.90625_-89.40625"
252,"70332409","FORCE_45.90625_-89.71875"
253,"75473225","FORCE_45.90625_-89.03125"
254,"77357810","FORCE_45.96875_-89.96875"
255,"70335647","FORCE_45.65625_-89.53125"
256,"70334689","FORCE_45.71875_-89.65625"
257,"69885254","FORCE_46.09375_-89.90625"
258,"70333135","FORCE_45.84375_-89.84375"
259,"69884890","FORCE_46.15625_-89.59375"
260,"70331647","FORCE_45.96875_-89.78125"
261,"123397734","FORCE_46.21875_-89.34375"
262,"69886508","FORCE_46.03125_-90.03125"
263,"70333961","FORCE_45.78125_-89.21875"
264,"70334435","FORCE_45.71875_-89.40625"
265,"70333945","FORCE_45.78125_-89.71875"
266,"70335835","FORCE_45.59375_-89.46875"
267,"77357728","FORCE_45.96875_-89.96875"
268,"70334173","FORCE_45.71875_-89.46875"
269,"69886306","FORCE_46.03125_-90.03125"
270,"123397535","FORCE_46.21875_-89.15625"
271,"69886026","FORCE_46.03125_-89.78125"
272,"123148153","FORCE_46.21875_-89.78125"
273,"69885148","FORCE_46.15625_-90.21875"
274,"70331911","FORCE_45.96875_-89.78125"
275,"123397698","FORCE_46.21875_-89.46875"
276,"123148068","FORCE_46.21875_-89.59375"
277,"70330749","FORCE_46.09375_-89.09375"
278,"69883876","FORCE_46.28125_-90.03125"
279,"69886670","FORCE_46.03125_-89.90625"
280,"69885156","FORCE_46.09375_-89.53125"
281,"69887074","FORCE_45.90625_-89.84375"
282,"70331835","FORCE_45.96875_-89.78125"
283,"70331947","FORCE_45.96875_-89.65625"
284,"70335721","FORCE_45.65625_-89.46875"
285,"70336269","FORCE_45.59375_-89.40625"
286,"69885938","FORCE_46.03125_-89.71875"
287,"77357992","FORCE_45.96875_-90.21875"
288,"123148137","FORCE_46.21875_-89.65625"
289,"69884112","FORCE_46.21875_-89.65625"
290,"70333655","FORCE_45.78125_-89.40625"
291,"70331099","FORCE_46.03125_-89.34375"
292,"JAZ_111","FORCE_46.09375_-89.15625"
293,"69886260","FORCE_46.03125_-89.71875"
294,"70332627","FORCE_45.84375_-89.09375"
295,"70334843","FORCE_45.71875_-89.71875"
296,"123147864","FORCE_46.28125_-89.90625"
297,"69884562","FORCE_46.15625_-89.71875"
298,"123396853","FORCE_46.28125_-89.28125"
299,"69885930","FORCE_46.09375_-90.28125"
300,"70332413","FORCE_45.90625_-89.46875"
301,"70335375","FORCE_45.65625_-89.40625"
302,"70332517","FORCE_45.90625_-89.28125"
303,"70330251","FORCE_46.15625_-89.34375"
304,"69885936","FORCE_46.03125_-89.65625"
305,"123397473","FORCE_46.21875_-89.15625"
306,"123148147","FORCE_46.21875_-89.59375"
307,"69886064","FORCE_46.09375_-90.28125"
308,"70333301","FORCE_45.84375_-89.53125"
309,"123148067","FORCE_46.21875_-89.71875"
310,"70332061","FORCE_45.90625_-89.53125"
311,"77357678","FORCE_45.96875_-90.03125"
312,"JAZ_24","FORCE_46.21875_-89.28125"
313,"70335779","FORCE_45.65625_-89.34375"
314,"70331419","FORCE_45.96875_-89.21875"
315,"JAZ_197","FORCE_45.78125_-89.34375"
316,"70333479","FORCE_45.84375_-89.84375"
317,"70334573","FORCE_45.71875_-89.59375"
318,"JAZ_120","FORCE_46.09375_-89.84375"
319,"70333023","FORCE_45.84375_-89.84375"
320,"77357914","FORCE_45.96875_-90.15625"
321,"70330311","FORCE_46.15625_-89.15625"
322,"70334211","FORCE_45.71875_-89.59375"
323,"123148250","FORCE_46.21875_-89.59375"
324,"123397109","FORCE_46.21875_-89.28125"
325,"123397037","FORCE_46.21875_-89.09375"
326,"69883864","FORCE_46.28125_-90.03125"
327,"69886432","FORCE_46.03125_-89.96875"
328,"70333703","FORCE_45.78125_-89.53125"
329,"70333859","FORCE_45.78125_-89.84375"
330,"70334205","FORCE_45.71875_-89.21875"
331,"69886906","FORCE_45.96875_-89.78125"
332,"70333625","FORCE_45.78125_-89.59375"
333,"70334783","FORCE_45.71875_-89.53125"
334,"70334905","FORCE_45.71875_-89.71875"
335,"69884828","FORCE_46.15625_-89.59375"
336,"69884518","FORCE_46.15625_-90.09375"
337,"70335627","FORCE_45.65625_-89.28125"
338,"70334529","FORCE_45.71875_-89.65625"
339,"69886452","FORCE_46.03125_-89.90625"
340,"69884604","FORCE_46.15625_-89.71875"
341,"70333461","FORCE_45.84375_-89.65625"
342,"70334277","FORCE_45.78125_-89.65625"
343,"JAZ_237","FORCE_45.65625_-89.21875"
344,"70335955","FORCE_45.59375_-89.46875"
345,"70334713","FORCE_45.71875_-89.21875"
346,"77357674","FORCE_46.03125_-90.15625"
347,"69884616","FORCE_46.15625_-89.71875"
348,"70331837","FORCE_45.96875_-89.59375"
349,"70330901","FORCE_46.03125_-89.34375"
350,"70330505","FORCE_46.15625_-89.21875"
351,"70331471","FORCE_45.96875_-89.46875"
352,"69886506","FORCE_46.03125_-89.65625"
353,"69884032","FORCE_46.21875_-89.96875"
354,"70333771","FORCE_45.78125_-89.65625"
355,"JAZ_163","FORCE_45.96875_-89.90625"
356,"70331713","FORCE_45.96875_-89.15625"
357,"69886548","FORCE_46.03125_-89.71875"
358,"70330281","FORCE_46.15625_-89.15625"
359,"70330847","FORCE_46.03125_-89.03125"
360,"JAZ_34","FORCE_46.21875_-89.28125"
361,"70330747","FORCE_46.09375_-89.34375"
362,"75473301","FORCE_45.90625_-88.96875"
363,"ZJH_0","FORCE_45.78125_-89.03125"
364,"JAZ_223","FORCE_45.71875_-89.65625"
365,"70331945","FORCE_45.90625_-89.34375"
366,"69886830","FORCE_45.96875_-89.78125"
367,"123397756","FORCE_46.21875_-89.28125"
368,"70331145","FORCE_46.03125_-89.53125"
