crun,currID
388,70331585
389,70334603
390,77357718
391,JAZ_54
392,69885062
393,70335667
394,70331875
395,70332131
396,70335671
397,70335985
398,69886336
399,70335995
400,70332361
401,77357620
402,123397963
403,70330957
404,69885532
405,70330477
406,69886564
407,77357984
408,70332783
409,70333485
410,69885680
411,69884416
412,69884820
413,69884202
414,JAZ_36
415,69886852
416,123397353
417,123148031
418,69885512
419,70331373
420,123397695
421,JAZ_119
422,70333013
423,123147982
424,69885886
425,69885284
426,70333917
427,123147945
428,123148123
429,123397332
430,70332117
431,70334571
432,70332733
433,70331987
434,70331021
435,69886624
436,70331115
437,70332595
438,69884558
439,70332509
440,70332673
441,70332039
442,70330297
443,69883634
444,70333339
445,123147838
446,69883772
447,69886314
448,70334081
449,69886328
450,70334695
451,70334759
452,70335165
453,123148007
454,70332311
455,69886414
456,69885234
457,70330215
458,69885496
459,70331131
460,70333835
461,70334485
462,69883946
463,69885176
464,69886808
465,123397162
466,123147995
467,70332807
468,69884610
469,69886566
470,69886702
471,123147969
472,123397012
473,69886590
474,70333363
475,70331403
476,JAZ_0
477,123396742
478,123397745
479,70331795
480,70334419
481,70330881
482,JAZ_141
483,70336363
484,123397902
485,70331455
486,70334461
487,69886426
488,69886364
489,69886536
490,70335253
491,70332847
492,70335545
493,123398060
494,70333573
495,69886442
496,69884648
497,69885860
498,70335841
499,69884618
500,70334143
501,123396779
502,70335095
503,69883868
504,69886712
505,69885650
506,70330609
507,70335199
508,69886576
509,123397115
510,77357876
511,70332513
512,123398037
513,123398105
514,70333665
515,123147828
516,70332023
517,123148073
518,69886680
519,JAZ_148
520,77358138
521,70331081
522,70332859
523,77357976
524,70334335
525,70333425
526,69886806
527,70335423
528,JAZ_178
529,70330575
530,70331991
531,70335797
532,70334873
533,70332463
534,70332729
535,77357910
536,123148041
537,123398039
538,70335057
539,70336263
540,70333967
541,123147981
542,70333395
543,70332789
544,70332889
545,70332983
546,77358286
547,70335765
548,123147917
549,75473449
550,69885344
551,70336113
552,70332981
553,123147937
554,123148058
555,69884502
556,123148181
557,70332425
558,77357700
559,70334339
560,70330359
561,ZJH_8
562,70333567
563,JAZ_114
564,123148006
565,69885674
566,70331563
567,70336333
568,69884792
569,JAZ_70
570,70333201
571,JAZ_172
572,123148185
573,70330175
574,69886730
575,123148039
576,70333183
577,70334011
578,JAZ_196
579,70335413
580,123147897
581,70332259
582,70333427
583,70334791
584,JAZ_255
585,70330555
586,69886778
587,70335925
588,70331499
589,69884690
590,70333113
591,123147822
592,69886544
593,123397420
594,123396989
595,69886390
596,70331241
597,JAZ_4
598,123147716
599,70334585
600,69887048
601,70335973
602,70332403
603,69883882
604,70331749
605,70330165
606,70334649
607,69885374
608,70332065
609,70335287
610,JAZ_109
611,69886466
612,70333203
613,JAZ_107
614,123147996
615,70335301
616,70330711
617,77357754
618,JAZ_105
619,70334707
620,123396879
621,70333975
622,70332209
623,70335695
624,69886486
625,69886280
626,70332293
